,movie,budget_int,total_gross_int,gross_margin,release_year,tconst,runtime_minutes,genre_lists,main_genre,averageRating,title,region,is_original_title,gross_margin_dollars
39387,Renaissance Man,40000000,48345798,17.26,1994,,,,,,,,,8345798
39388,3 Ninjas Kick Back,20000000,23489920,14.86,1994,,,,,,,,,3489920
39389,PCU,9000000,8667138,-3.84,1994,,,,,,,,,-332862
39390,Wyatt Earp,63000000,50104000,-25.74,1994,,,,,,,,,-12896000
39391,Baby's Day Out,50000000,33163150,-50.77,1994,,,,,,,,,-16836850
39392,Romeo Is Bleeding,10000000,6551170,-52.64,1994,,,,,,,,,-3448830
39393,Ed Wood,18000000,11656932,-54.41,1994,,,,,,,,,-6343068
39394,Killing Zoe,1500000,837906,-79.02,1994,,,,,,,,,-662094
39395,The Hudsucker Proxy,40000000,17754667,-125.29,1994,,,,,,,,,-22245333
39396,Rapa Nui,20000000,610140,-3177.94,1994,,,,,,,,,-19389860
39397,Police Academy 7: Mission to Moscow,10000000,252494,-3860.49,1994,,,,,,,,,-9747506
39398,There Goes My Baby,10500000,250338,-4094.33,1994,,,,,,,,,-10249662
39399,El Mariachi,7000,4082848,99.83,1993,,,,,,,,,4075848
39400,Mrs. Doubtfire,25000000,660481054,96.21,1993,,,,,,,,,635481054
39401,Jurassic Park,63000000,1434520889,95.61,1993,,,,,,,,,1371520889
39402,Schindler's List,25000000,419095950,94.03,1993,,,,,,,,,394095950
39403,Cool Runnings,14000000,223912526,93.75,1993,,,,,,,,,209912526
39404,Menace II Society,3500000,55463054,93.69,1993,,,,,,,,,51963054
39405,The Fugitive,44000000,537591077,91.82,1993,,,,,,,,,493591077
39406,Free Willy,20000000,231397250,91.36,1993,,,,,,,,,211397250
39407,The Piano,7000000,80326813,91.29,1993,,,,,,,,,73326813
39408,Philadelphia,26000000,278648844,90.67,1993,,,,,,,,,252648844
39409,Jason Goes to Hell: The Final Friday,3000000,31870136,90.59,1993,,,,,,,,,28870136
39410,The Firm,42000000,428681784,90.2,1993,,,,,,,,,386681784
39411,Groundhog Day,14600000,141813946,89.7,1993,,,,,,,,,127213946
39412,The Adventures of Huck Finn,6500000,48207188,86.52,1993,,,,,,,,,41707188
39413,The Pelican Brief,45000000,288763915,84.42,1993,,,,,,,,,243763915
39414,The Remains of the Day,15000000,86909936,82.74,1993,,,,,,,,,71909936
39415,Much Ado About Nothing,8000000,45098676,82.26,1993,,,,,,,,,37098676
39416,Cliffhanger,65000000,339049211,80.83,1993,,,,,,,,,274049211
39417,What's Love Got to Do With It,15000000,78201912,80.82,1993,,,,,,,,,63201912
39418,Nowhere to Run,15000000,74378078,79.83,1993,,,,,,,,,59378078
39419,Tombstone,25000000,113010130,77.88,1993,,,,,,,,,88010130
39420,Fortress,12000000,53461156,77.55,1993,,,,,,,,,41461156
39421,Loaded Weapon 1,13000000,55958798,76.77,1993,,,,,,,,,42958798
39422,Teenage Mutant Ninja Turtles III,21000000,84547218,75.16,1993,,,,,,,,,63547218
39423,Poetic Justice,14000000,54900906,74.5,1993,,,,,,,,,40900906
39424,The Beverly Hillbillies,25000000,97821128,74.44,1993,,,,,,,,,72821128
39425,Army of Darkness,11000000,33005952,66.67,1993,,,,,,,,,22005952
39426,Hocus Pocus,28000000,78720982,64.43,1993,,,,,,,,,50720982
39427,Warlock: The Armageddon,3000000,7805358,61.56,1993,,,,,,,,,4805358
39428,Ruby in Paradise,800000,2002874,60.06,1993,,,,,,,,,1202874
39429,Shadowlands,22000000,51684754,57.43,1993,,,,,,,,,29684754
39430,Dazed and Confused,6900000,15901778,56.61,1993,,,,,,,,,9001778
39431,Alive,32000000,72599340,55.92,1993,,,,,,,,,40599340
39432,Last Action Hero,85000000,187314883,54.62,1993,,,,,,,,,102314883
39433,Nemesis,2000000,4002248,50.03,1993,,,,,,,,,2002248
39434,True Romance,12500000,24590980,49.17,1993,,,,,,,,,12090980
39435,The Age of Innocence,34000000,64029986,46.9,1993,,,,,,,,,30029986
39436,What's Eating Gilbert Grape,11000000,18340428,40.02,1993,,,,,,,,,7340428
39437,The Dark Half,15000000,19158136,21.7,1993,,,,,,,,,4158136
39438,Only the Strong,6000000,6547176,8.36,1993,,,,,,,,,547176
39439,Super Mario Bros.,42000000,41689814,-0.74,1993,,,,,,,,,-310186
39440,RoboCop 3,22000000,21392420,-2.84,1993,,,,,,,,,-607580
39441,Gettysburg,25000000,21463994,-16.47,1993,,,,,,,,,-3536006
39442,Bound by Honor,35000000,8993166,-289.18,1993,,,,,,,,,-26006834
39443,The Nutcracker,19000000,4239988,-348.11,1993,,,,,,,,,-14760012
39444,Excessive Force,13000000,2304234,-464.18,1993,,,,,,,,,-10695766
39445,Dead Alive,3000000,485246,-518.24,1993,,,,,,,,,-2514754
39446,Return of the Living Dead 3,2000000,42000,-4661.9,1993,,,,,,,,,-1958000
39447,Ed and his Dead Mother,1800000,1346,-133629.57,1993,,,,,,,,,-1798654
39448,The Crying Game,4000000,125093390,96.8,1992,,,,,,,,,121093390
39449,Home Alone 2: Lost in New York,20000000,532580366,96.24,1992,,,,,,,,,512580366
39451,The Bodyguard,25000000,532844759,95.31,1992,,,,,,,,,507844759
39452,Unforgiven,14400000,260314894,94.47,1992,,,,,,,,,245914894
39453,Wayne's World,20000000,304794646,93.44,1992,,,,,,,,,284794646
39454,Lethal Weapon 3,35000000,464431527,92.46,1992,,,,,,,,,429431527
39455,A Few Good Men,33000000,377840178,91.27,1992,,,,,,,,,344840178
39456,The Mighty Ducks,10000000,101504674,90.15,1992,,,,,,,,,91504674
39457,My Cousin Vinny,11000000,105858336,89.61,1992,,,,,,,,,94858336
39458,Bram Stoker's Dracula,40000000,298385482,86.59,1992,,,,,,,,,258385482
39459,Howards End,8000000,52442815,84.75,1992,,,,,,,,,44442815
39460,The Lawnmower Man,10000000,64201632,84.42,1992,,,,,,,,,54201632
39461,The Player,8000000,50582803,84.18,1992,,,,,,,,,42582803
39462,A League of Their Own,40000000,239973991,83.33,1992,,,,,,,,,199973991
39463,Patriot Games,45000000,261387363,82.78,1992,,,,,,,,,216387363
39464,Batman Returns,80000000,429657926,81.38,1992,,,,,,,,,349657926
39465,Boomerang,42000000,201104888,79.12,1992,,,,,,,,,159104888
39466,Reservoir Dogs,1200000,5664058,78.81,1992,,,,,,,,,4464058
39467,The Muppet Christmas Carol,12000000,54774425,78.09,1992,,,,,,,,,42774425
39468,Buffy the Vampire Slayer,7000000,28463338,75.41,1992,,,,,,,,,21463338
39469,Alien 3,55000000,213427174,74.23,1992,,,,,,,,,158427174
39470,Raising Cain,11000000,42343390,74.02,1992,,,,,,,,,31343390
39471,The Last of the Mohicans,40000000,151011712,73.51,1992,,,,,,,,,111011712
39472,Death Becomes Her,55000000,207445300,73.49,1992,,,,,,,,,152445300
